,station,lat,lon,pandemic,average_bike_usage,sem_bike_usage
225,High Street,53.343567,-6.275071,pandemic,68.35159800352307,0.05149647650946156
226,High Street,53.343567,-6.275071,pre-pandemic,70.69262000145547,0.069414750000227
227,High Street,53.3436,-6.27507,pandemic,58.09768775286017,0.14779266243796504
228,High Street,53.3436,-6.27507,post-pandemic,70.52843608112258,0.05896510847486165
229,"JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1",53.35463,-6.242615,pandemic,2.367955716152841,0.13332485031431676
230,JCDecaux Ireland; 52 Oriel Street Lower; Dublin 1,53.3546,-6.24262,pandemic,0.0,0.0
231,JCDecaux Ireland; 52 Oriel Street Lower; Dublin 1,53.3546,-6.24262,post-pandemic,0.056922395800392135,0.018969330786642914
232,James Street,53.343456,-6.287409,pandemic,68.3404706903852,0.044237868763534305
233,James Street,53.343456,-6.287409,pre-pandemic,60.902298813073806,0.0811951542912684
234,James Street,53.3435,-6.28741,pandemic,53.30866355866356,0.13819039486416604
235,James Street,53.3435,-6.28741,post-pandemic,61.967726989320504,0.05872627548423418
236,James Street East,53.3366,-6.24811,post-pandemic,74.74642861433841,0.07342031483487245
237,Jervis Street,53.3483,-6.26665,pandemic,45.01165501165501,0.1799869803170413
238,Jervis Street,53.3483,-6.26665,post-pandemic,45.54909361711748,0.07612499084632075
239,Jervis Street,53.348301,-6.266651,pandemic,51.31890898830226,0.06832035366143055
240,Jervis Street,53.348301,-6.266651,pre-pandemic,62.54915264739597,0.08857887252875828
241,John Street West,53.3431,-6.27717,pandemic,54.09216231796877,0.152668469545103
242,John Street West,53.3431,-6.27717,post-pandemic,69.9878271802808,0.05938134885749262
243,John Street West,53.343105,-6.277167,pandemic,63.73730202366908,0.04993412370836229
244,John Street West,53.343105,-6.277167,pre-pandemic,60.94812548820873,0.07960932506635215
245,Kevin Street,53.337757,-6.267699,pandemic,73.5847533848353,0.04001212013731365
246,Kevin Street,53.337757,-6.267699,pre-pandemic,78.06707935599657,0.059258706486190235
247,Kevin Street,53.3378,-6.2677,pandemic,70.11026352288488,0.12714412915718376
248,Kevin Street,53.3378,-6.2677,post-pandemic,71.35612998438403,0.05419123858811208
249,Killarney Street,53.3548,-6.24758,pandemic,39.01528101528102,0.178666706848687
250,Killarney Street,53.3548,-6.24758,post-pandemic,40.48260792467724,0.07832029402487042
251,Killarney Street,53.354843,-6.247579,pandemic,36.164549239545764,0.060813246699253365
252,Killarney Street,53.354843,-6.247579,pre-pandemic,45.38632974566267,0.09588558461741001
253,Kilmainham Gaol,53.3421,-6.31002,pandemic,50.206973581973585,0.15499368680763617
254,Kilmainham Gaol,53.3421,-6.31002,post-pandemic,50.937473186859705,0.0644850547813961
255,Kilmainham Gaol,53.342113,-6.310015,pandemic,56.03124165197414,0.05368806555281161
256,Kilmainham Gaol,53.342113,-6.310015,pre-pandemic,64.7771820009399,0.08130246607160836
257,Kilmainham Lane,53.3418,-6.30509,pandemic,65.53703703703704,0.1256129511261359
258,Kilmainham Lane,53.3418,-6.30509,post-pandemic,69.73836095205954,0.053914042114163674
259,Kilmainham Lane,53.341805,-6.305085,pandemic,65.20332036094293,0.04760488256536725
260,Kilmainham Lane,53.341805,-6.305085,pre-pandemic,74.74965831831675,0.06774065378623778
261,King Street North,53.350292,-6.273507,pandemic,52.85075353495364,0.05789683517282884
262,King Street North,53.350292,-6.273507,pre-pandemic,63.09108092348978,0.08208299888210865
263,King Street North,53.3503,-6.27351,pandemic,56.484071484071485,0.16698946854598581
264,King Street North,53.3503,-6.27351,post-pandemic,63.87047322690066,0.06290676060327252
265,Leinster Street South,53.342178,-6.254485,pandemic,60.537900504242586,0.05993008153994427
266,Leinster Street South,53.342178,-6.254485,pre-pandemic,54.02026895088327,0.09025989787061342
267,Leinster Street South,53.3422,-6.25449,pandemic,54.86039886039887,0.17504867572677313
268,Leinster Street South,53.3422,-6.25449,post-pandemic,48.568383279659386,0.07171165337854848
269,Lime Street,53.346,-6.24358,pandemic,80.13908313908314,0.10823835319720623
270,Lime Street,53.346,-6.24358,post-pandemic,76.87518947952478,0.055141703954070455
271,Lime Street,53.346027,-6.243576,pandemic,80.5588320138466,0.03225181963220555
272,Lime Street,53.346027,-6.243576,pre-pandemic,74.56135242755084,0.0814161655994448
273,Market Street South,53.342297,-6.287661,pandemic,66.12861552419554,0.044499675631908424
274,Market Street South,53.342297,-6.287661,pre-pandemic,63.697203391402255,0.0778090579055202
275,Market Street South,53.3423,-6.28766,pandemic,56.96407393775815,0.13122085746998524
276,Market Street South,53.3423,-6.28766,post-pandemic,66.89464923369738,0.05168438040960185
277,Mater Hospital,53.359966,-6.264828,pandemic,60.207214666195085,0.04498668117210682
278,Mater Hospital,53.359966,-6.264828,pre-pandemic,63.482267105382945,0.07729952429900855
279,Mater Hospital,53.36,-6.26483,pandemic,60.15258352758353,0.11172158202997666
280,Mater Hospital,53.36,-6.26483,post-pandemic,69.24944657678425,0.048297944499986645
281,Merrion Square East,53.3394,-6.24655,pandemic,74.71471121471122,0.12138470572444549
282,Merrion Square East,53.3394,-6.24655,post-pandemic,74.16912155862282,0.06031984760033829
283,Merrion Square East,53.339436,-6.246548,pandemic,72.29215969731041,0.04870142335217874
284,Merrion Square East,53.339436,-6.246548,pre-pandemic,68.81309719677006,0.08903223343658533
285,Merrion Square South,53.3386,-6.24861,pandemic,68.55555555555556,0.10646753612822657
286,Merrion Square South,53.3386,-6.24861,post-pandemic,74.17525640512295,0.05240354947286344
287,Merrion Square South,53.338615,-6.248606,pandemic,78.06842448055691,0.03852056600815869
288,Merrion Square South,53.338615,-6.248606,pre-pandemic,72.23307799442897,0.08493906966138487
289,Merrion Square West,53.339764,-6.251988,pandemic,49.79697268661998,0.06090979626368754
290,Merrion Square West,53.339764,-6.251988,pre-pandemic,49.91759845078455,0.09441940131398747
291,Merrion Square West,53.3398,-6.25199,pandemic,49.64452214452214,0.1705930220801145
292,Merrion Square West,53.3398,-6.25199,post-pandemic,48.077719495941565,0.07394271453325241
293,Molesworth Street,53.34129,-6.258117,pandemic,65.20808465767063,0.07218338557560515
294,Molesworth Street,53.34129,-6.258117,pre-pandemic,61.470308757679895,0.09615259786956847
295,Molesworth Street,53.3413,-6.25812,pandemic,60.745337995338,0.20131582152360852
296,Molesworth Street,53.3413,-6.25812,post-pandemic,56.26123291824209,0.08075813980341921
297,Mount Brown,53.3416,-6.29719,pandemic,63.012997103906194,0.16027291511100833
298,Mount Brown,53.3416,-6.29719,post-pandemic,61.32327039969715,0.06509339079163819
299,Mount Brown,53.341644,-6.29719,pandemic,55.64349122150098,0.05711779676371105
300,Mount Brown,53.341644,-6.29719,pre-pandemic,61.9508433683466,0.09004583512413523
301,Mount Street Lower,53.337959,-6.24153,pandemic,65.71222262485878,0.04270138660819926
